# Wavelength   Rlam
166.20146 45.86516
166.27554 45.86245
166.34966 45.85974
166.42381 45.85703
166.49799 45.85431
166.57221 45.85160
166.64645 45.84888
166.72073 45.84617
166.79505 45.84345
166.86940 45.84073
166.94378 45.83801
167.01819 45.83529
167.09264 45.83257
167.16712 45.82984
167.24163 45.82712
167.31618 45.82439
167.39076 45.82166
167.46537 45.81893
167.54001 45.81620
167.61469 45.81347
167.68941 45.81074
167.76415 45.80801
167.83893 45.80527
167.91374 45.80253
167.98859 45.79980
168.06347 45.79706
168.13838 45.79432
168.21333 45.79158
168.28831 45.78884
168.36332 45.78609
168.43837 45.78335
168.51345 45.78060
168.58856 45.77785
168.66371 45.77511
168.73889 45.77236
168.81410 45.76961
168.88935 45.76685
168.96463 45.76410
169.03994 45.76135
169.11529 45.75859
169.19067 45.75583
169.26609 45.75308
169.34153 45.75032
169.41702 45.74756
169.49253 45.74479
169.56808 45.74203
169.64367 45.73927
169.71928 45.73650
169.79493 45.73373
169.87062 45.73097
169.94634 45.72820
170.02209 45.72543
170.09787 45.72265
170.17369 45.71988
170.24955 45.71711
170.32543 45.71433
170.40135 45.71156
170.47731 45.70878
170.55330 45.70600
170.62932 45.70322
170.70538 45.70044
170.78147 45.69765
170.85759 45.69487
170.93375 45.69208
171.00994 45.68930
171.08617 45.68651
171.16243 45.68372
171.23872 45.68093
171.31505 45.67814
171.39141 45.67535
171.46781 45.67255
171.54424 45.66976
171.62070 45.66696
171.69720 45.66416
171.77373 45.66136
171.85030 45.65856
171.92690 45.65576
172.00353 45.65296
172.08020 45.65015
172.15690 45.64735
172.23364 45.64454
172.31041 45.64173
172.38722 45.63893
172.46406 45.63612
172.54093 45.63330
172.61784 45.63049
172.69478 45.62768
172.77176 45.62486
172.84877 45.62205
172.92582 45.61923
173.00290 45.61641
173.08001 45.61359
173.15716 45.61077
173.23434 45.60794
173.31156 45.60512
173.38881 45.60229
173.46610 45.59947
173.54342 45.59664
173.62078 45.59381
173.69817 45.59098
173.77559 45.58815
173.85305 45.58532
173.93054 45.58248
174.00807 45.57965
174.08563 45.57681
174.16323 45.57397
174.24086 45.57113
174.31853 45.56829
174.39623 45.56545
174.47396 45.56261
174.55173 45.55976
174.62954 45.55692
174.70738 45.55407
174.78525 45.55122
174.86316 45.54837
174.94110 45.54552
175.01908 45.54267
175.09710 45.53982
175.17514 45.53696
175.25323 45.53411
175.33134 45.53125
175.40950 45.52839
175.48768 45.52553
175.56590 45.52267
175.64416 45.51981
175.72245 45.51695
175.80078 45.51408
175.87914 45.51122
175.95754 45.50835
176.03597 45.50548
176.11443 45.50261
176.19294 45.49974
176.27147 45.49687
176.35004 45.49399
176.42865 45.49112
176.50729 45.48824
176.58597 45.48536
176.66468 45.48249
176.74343 45.47961
176.82221 45.47672
176.90102 45.47384
176.97988 45.47096
177.05876 45.46807
177.13768 45.46519
177.21664 45.46230
177.29563 45.45941
177.37466 45.45652
177.45373 45.45363
177.53282 45.45074
177.61196 45.44784
177.69113 45.44495
177.77033 45.44205
177.84957 45.43915
177.92884 45.43625
178.00815 45.43335
178.08750 45.43045
178.16688 45.42755
178.24630 45.42464
178.32575 45.42174
178.40523 45.41883
178.48476 45.41592
178.56431 45.41301
178.64391 45.41010
178.72354 45.40719
178.80320 45.40427
178.88290 45.40136
178.96264 45.39844
179.04241 45.39553
179.12221 45.39261
179.20206 45.38969
179.28193 45.38677
179.36185 45.38384
179.44179 45.38092
179.52178 45.37799
179.60180 45.37507
179.68185 45.37214
179.76195 45.36921
179.84207 45.36628
179.92224 45.36335
180.00243 45.36041
180.08267 45.35748
180.16294 45.35454
180.24324 45.35161
180.32359 45.34867
180.40396 45.34573
180.48438 45.34279
180.56483 45.33985
180.64531 45.33690
180.72583 45.33396
180.80639 45.33101
180.88698 45.32806
180.96761 45.32511
181.04827 45.32216
181.12898 45.31921
181.20971 45.31626
181.29048 45.31331
181.37129 45.31035
181.45214 45.30739
181.53302 45.30444
181.61393 45.30148
181.69489 45.29852
181.77588 45.29555
181.85690 45.29259
181.93796 45.28963
182.01906 45.28666
182.10019 45.28369
182.18136 45.28072
182.26257 45.27775
182.34381 45.27478
182.42509 45.27181
182.50640 45.26884
182.58775 45.26586
182.66914 45.26288
182.75056 45.25991
182.83202 45.25693
182.91351 45.25395
182.99505 45.25097
183.07662 45.24798
183.15822 45.24500
183.23986 45.24201
183.32154 45.23902
183.40325 45.23604
183.48500 45.23305
183.56679 45.23005
183.64861 45.22706
183.73047 45.22407
183.81237 45.22107
183.89430 45.21808
183.97627 45.21508
184.05827 45.21208
184.14032 45.20908
184.22240 45.20608
184.30451 45.20307
184.38666 45.20007
184.46885 45.19706
184.55108 45.19406
184.63334 45.19105
184.71564 45.18804
184.79797 45.18503
184.88034 45.18201
184.96275 45.17900
185.04520 45.17598
185.12768 45.17297
185.21020 45.16995
185.29275 45.16693
185.37535 45.16391
185.45798 45.16089
185.54064 45.15787
185.62334 45.15484
185.70608 45.15181
185.78886 45.14879
185.87167 45.14576
